,0,1,2
0-sglib-combined,1.266566541090264,2106022,2667417
0-wikisort,1.8458794961299134,500764,924350
0-matmult-int,2.033075459182565,1564846,3181450
0-nettle-sha256,2.6328620765400763,1638880,4314945
0-nettle-aes,2.878289699718271,1746360,5026530
0-minver,1.6459465039620103,280918,462376
0-slre,2.314192224942433,1058333,2449186
0-cubic,1.0639906403731405,964141,1025837
0-aha-mont64,2.105852344565994,909550,1915378
0-nsichneu,1.1671506417431243,1916421,2236752
0-huffbench,1.553033226759689,1940755,3014057
0-crc32,1.5690833723099293,2552814,4005578
0-picojpeg,2.1715369934011317,1786670,3879820
0-qrduino,1.317713719994228,2238361,2949519
0-nbody,0.3370884283215003,108031,36416
0-st,0.7352835534980245,100228,73696
0-edn,2.5304857231989923,1359128,3439254
0-ud,1.0994761019862391,2107853,2317534
